1,1 Code 3 Hangovers,Pimpri Chinchwad College of Engineering
2,1e9+7,National Institute of Technology Agartala
3,Aayiye Timepass Kijiye,Netaji Sushas University of Technology
4,AHY_Programmers,Vishwakarma Institute of Technology
5,AKR Bit Busters,Indian Institute of Information Technology Tiruchirappalli
6,allnewbie_22sec,Dayananda Sagar College of Engineering
7,alltimecoders,Jaypee Institute of Information Technology
8,Angad,International Institute of Information Technology - Naya Raipur
9,Anti-Adhoc,International Institute of Information Technology - Bangalore
10,ASSASSIN,Bundelkhand Institute of Engineering & Technology Jhansi
11,Avengers: Age of Adhoc,BITS-Pilani Goa Campus
12,Be Negative,Indian Institute of Information Technology Pune
13,Beatles,BMS College of Engineering
14,bhindi_ke_parathe,Army Institute of Technology
15,Bhupendra Jogi _Bhupendra Jogi,Indian Institute of Technology - Roorkee
16,Big_OwO_Notation,Chennai Mathematical Institute
17,bitmASKers,Indian Institute of Technology - Roorkee
18,Boffinapes,New Horizon College Of Engineering Bengaluru
19,borderline,Indian Institute of Technology - Hyderabad
20,Buzzinga,The LNM Institute of Information Technology
21,Chennai Sharks,Sri Sivasubramaniya Nadar College of Engineering
22,choti_advance,Motilal Nehru National Institute of Technology - Allahabad
23,Code_smashers 2.0,KIET GROUP OF INSTITUTIONS
24,code_wizards,IIIT Vadodara
25,Codemons,Indian Institute of Technology - Madras
26,Coders_Hustle,Indian Institute of Engineering Science and Technology Shibpur
27,CrystaLMatH,Indian Institute of Technology - Jodhpur
28,Ctrl-Shift-Defeat,Indian Institute of Technology - Kanpur
29,D5R24,Walchand College of Engineering Sangli
30,DAB,PDPM Indian Institute of Information Technology Design & Manufacturing Jabalpur
31,Debugging Susanoo,Indian Institute of Technology - Guwahati
32,DunderMifflin,Indian Institute of Technology - Kharagpur
33,Equinox ,Indian Institute of Technology - Ropar
34,Error-404,Vellore Institute of Technology - Andhra Pradesh
35,error404found,National Institute of Technology Karnataka Surathkul
36,fenvickThree,Pandit Deendayal Petroleum University
37,FenWicked Tree,IIIT-Delhi
38,fightFight,International Institute of Information Technology - Hyderabad
39,Flashpoint,Indian Institute of Technology - Kharagpur
40,Goblin Barrel,National Institute of Technology Calicut
41,Greedy Turtles,Nirma Institute of Technology Ahmedabad
42,hrgboks,Indian Institute of Information Technology Nagpur
43,ICPC Lessgoo,Thapar Institute of Engineering & Technology
44,Infernus,Indian Institute of Information Technology & Management Gwalior
45,is it rated?,Indian Institute of Technology - Delhi
46,KiloByteMe,School of Engineering and Applied Science Ahmedabad University
47,LAL Fund,Indian Institute of Information Technology - Allahabad
48,last_moment_coders,BITS-Pilani Hyderabad Campus
49,lazy three,International Institute of Information Technology - Hyderabad
50,lemon,Indian Institute of Technology - Bhilai
51,maniACs,Indian Institute of Technology - Gandhinagar
52,Maniaxe,Delhi Skill and Entrepreneurship University Okhla-1
53,Meowbadi,Jadavpur University
54,MEX Offenders,Indian Institute of Technology - Patna
55,NPN_Trasistors,National Institute of Technology Rourkela
56,ohio_trio,Delhi Technological University
57,OnTheSpot,Indian Institute of Technology BHU Varanasi
58,OO7,Maulana Azad National Institute of Technology Bhopal
59,postesters,VIT University Chennai Campus
60,regretISMa,Indian Institute of Technology (ISM) Dhanbad
61,Rest_in_code,Indian Institute of Technology - Kharagpur
62,Runtime Terrors,Indian Institute of Technology - Bombay
63,S(h)auch rahe hai,Birla Institute of Technology & Science Pilani Campus
64,SAP_01,National Institute of Technology Trichy
65,second_by_choice,Indian Institute of Technology - Delhi
66,segment_trACk,Indian Institute of Technology - Kanpur
67,Segmentation Assault,Thadomal Shahani Engineering College
68,SegThree,Indian Institute of Information Technology Surat
69,Silent 3lers,Dhirubhai Ambani Institute of Information and Communication Technology Gandhinagar
70,Skill Issue,Scaler School of Technology
71,SKS,Veermata Jijabai Technological Institute
72,SnackOverflow,National Institute of Technology Jamshedpur
73,Spartans,Gautam Buddha University
74,syc,Indian Institute of Information Technology Una
75,Team SUS,Ajay Kumar Garg Engineering College Ghaziabad
76,the Boys,Maharaja Agrasen Institute of Technology
77,Three Musketeers,IIT Bhubaneswar
78,TriBlazers,IIT Bhubaneswar
79,TrieHarders,Pune Institute of Computer Technology
80,TRINITY,UNIVERSITY SCHOOL OF INFORMATION TECHNOLOGY
81,TripleS,National Institute of Technology Durgapur
82,Underdogs,Indian Institute of Technology - Indore
83,Void,Indian Institute of Information Technology Guwahati
84,Wannabe Red,Indian Institute of Technology - Madras
85,Yorozuya Forever,Indian Institute of Technology - Madras
86,Zaleel,Indian Institute of Technology BHU Varanasi